"X","gene","timepoint"
310,"HORVU.MOREX.r2.7HG0569740","32H"
311,"HORVU.MOREX.r2.5HG0383100","32H"
312,"HORVU.MOREX.r2.7HG0554630","32H"
313,"HORVU.MOREX.r2.4HG0343710","32H"
314,"HORVU.MOREX.r2.4HG0290230","32H"
315,"HORVU.MOREX.r2.3HG0225010","32H"
316,"HORVU.MOREX.r2.1HG0046570","32H"
317,"HORVU.MOREX.r2.7HG0565420","32H"
318,"HORVU.MOREX.r2.1HG0040660","32H"
319,"HORVU.MOREX.r2.3HG0240260","32H"
320,"HORVU.MOREX.r2.3HG0249000","32H"
321,"HORVU.MOREX.r2.4HG0328240","32H"
322,"HORVU.MOREX.r2.4HG0313770","32H"
323,"HORVU.MOREX.r2.3HG0206440","32H"
324,"HORVU.MOREX.r2.2HG0081070","32H"
325,"HORVU.MOREX.r2.1HG0020140","32H"
326,"HORVU.MOREX.r2.2HG0110380","32H"
327,"HORVU.MOREX.r2.1HG0068260","32H"
328,"HORVU.MOREX.r2.3HG0208570","32H"
329,"HORVU.MOREX.r2.2HG0176090","32H"
330,"HORVU.MOREX.r2.3HG0242400","32H"
331,"HORVU.MOREX.r2.5HG0441050","32H"
332,"HORVU.MOREX.r2.6HG0519720","32H"
333,"HORVU.MOREX.r2.2HG0108200","32H"
334,"HORVU.MOREX.r2.1HG0058880","32H"
335,"HORVU.MOREX.r2.3HG0252430","32H"
336,"HORVU.MOREX.r2.3HG0249020","32H"
337,"HORVU.MOREX.r2.6HG0454100","32H"
338,"HORVU.MOREX.r2.7HG0537070","32H"
339,"HORVU.MOREX.r2.3HG0256320","32H"
340,"HORVU.MOREX.r2.3HG0255240","32H"
341,"HORVU.MOREX.r2.3HG0219540","32H"
342,"HORVU.MOREX.r2.7HG0586260","32H"
343,"HORVU.MOREX.r2.3HG0215820","32H"
344,"HORVU.MOREX.r2.6HG0485180","32H"
345,"HORVU.MOREX.r2.7HG0593030","32H"
346,"HORVU.MOREX.r2.1HG0000070","32H"
347,"HORVU.MOREX.r2.5HG0434820","32H"
348,"HORVU.MOREX.r2.1HG0062630","32H"
349,"HORVU.MOREX.r2.4HG0323250","32H"
350,"HORVU.MOREX.r2.1HG0066860","32H"
351,"HORVU.MOREX.r2.4HG0292540","32H"
